date,hm3,normal,prealerta,alerta,emergencia,lowest
2022-06-23,1.32,1.48,1.4,1.33,1.26,1.21
2022-07-03,1.25,1.48,1.37,1.27,1.20,1.13
2022-07-13,1.22,1.48,1.34,1.23,1.13,1.07
2022-07-23,1.16,1.48,1.3,1.17,1.09,1.00
2022-08-02,1.11,1.48,1.26,1.12,1.03,0.93
2022-08-12,1.06,1.48,1.23,1.07,0.99,0.87
2022-08-22,1.02,1.48,1.2,1.03,0.93,0.81
2022-09-01,0.97,1.48,1.16,1.00,0.86,0.75
2022-09-11,0.91,1.48,1.11,0.94,0.81,0.67
2022-09-21,0.84,1.48,1.06,0.88,0.75,0.61
2022-10-01,0.79,1.48,1.03,0.84,0.68,0.53
2022-10-11,0.73,1.48,1.02,0.79,0.63,0.45
2022-10-21,0.67,1.48,1.01,0.76,0.58,0.40
2022-10-31,0.65,1.48,0.99,0.73,0.56,0.33
2022-11-10,0.63,1.48,1.06,0.76,0.55,0.28
2022-11-20,0.61,1.48,1.14,0.79,0.55,0.24
2022-11-30,0.78,1.48,1.24,0.85,0.58,0.25
2022-12-10,0.81,1.48,1.26,0.89,0.65,0.37
2022-12-20,0.87,1.48,1.29,0.90,0.65,0.35
2022-12-30,0.89,1.48,1.3,0.96,0.73,0.47
2023-01-09,0.95,1.48,1.31,1.02,0.81,0.58
2023-01-19,1.49,1.48,1.36,1.05,0.86,0.65
2023-01-29,1.49,1.48,1.38,1.14,0.96,0.78
2023-02-08,1.49,1.48,1.39,1.19,1.02,0.87
2023-02-18,1.47,1.48,1.41,1.31,1.25,1.13
2023-02-28,1.49,1.48,1.43,1.4,1.4,1.36
2023-03-09,1.49,1.48,1.45,1.39,1.36,1.31
2023-03-19,1.49,1.48,1.45,1.38,1.32,1.26
