date,holiday
2021-01-01,1
2021-01-06,1
2021-03-19,1
2021-04-01,1
2021-04-02,1
2021-04-05,1
2021-05-01,1
2021-10-12,1
2021-11-01,1
2021-12-06,1
2021-12-08,1
2021-12-25,1
2021-07-31,1
2022-01-01,1
2022-01-06,1
2022-04-14,1
2022-04-15,1
2022-04-18,1
2022-07-25,1
2022-08-15,1
2022-09-06,1
2022-10-12,1
2022-11-01,1
2022-12-06,1
2022-12-08,1
2022-09-09,1
2023-01-06,1
2023-04-06,1
2023-04-07,1
2023-04-10,1
2023-05-01,1
2023-07-25,1
2023-08-15,1
2023-10-12,1
2023-11-01,1
2023-12-06,1
2023-12-08,1
2023-12-25,1
2023-07-31,1
2024-01-01,1
2024-01-06,1
2024-03-28,1
2024-03-29,1
2024-04-01,1
2024-05-01,1
2024-07-25,1
2024-08-15,1
2024-10-12,1
2024-11-01,1
2024-12-06,1
2024-12-25,1
2024-07-31,1
2025-01-01,1
2025-01-06,1
2025-04-17,1
2025-04-18,1
2025-04-21,1
2025-05-01,1
2025-07-25,1
2025-08-15,1
2025-11-01,1
2025-12-06,1
2025-12-08,1
2025-12-25,1
2025-07-31,1
